Organism	Type	1	2	3	4	5	6
Stentor coeruleus	Ciliate (Standard Code)	0.17967926363583234	0.0828378113895104	0.219979038384484	0.10721974253411494	0.03217596848744688	0.06522927246404889
Euplotes octocarinatus	Ciliate (Stop = UAG, UAA)	-0.21124774209970562	-0.05640600248857495	-0.0319971393193373	-0.011149297995871575	-0.021828684122920473	-0.03959691609971146
Ichthyophthirius mutifilis	Ciliate (Stop = UGA)	0.35020028214375765	0.05509475695396624	0.11734637278823039	0.09364212121258932	-0.04935445788221084	-0.023659307971648322
Oxytricha trifallax	Ciliate (Stop = UGA)	0.25817201310001314	0.45417361914618565	0.4796328032644706	0.5107065571156593	0.3534221851758636	0.33570898491923745
Paramecium tetraurelia 	Ciliate (Stop = UGA)	0.6696944315892682	0.5978890261679147	0.453901808462324	0.33847291270210084	0.1337476626968405	0.09066529851626107
Pseudocohnilembus persalinus	Ciliate (Stop = UGA)	0.6810078549287873	0.7561657575185691	0.7502484124807257	0.5745783391025455	0.11118114924203719	0.18736952446827193
Stylonychia lemnae	Ciliate (Stop = UGA)	0.5176373902080867	0.5401944053074987	0.46102513409941925	0.4633675317017387	0.4270733219338108	0.3798093775050356
Tetrahymena borealis	Ciliate (Stop = UGA)	0.2165567780093968	0.32299046561458766	0.6261572757537349	0.5854262921342495	0.2564731917662268	0.1751217062223149
Tetrahymena ellioti	Ciliate (Stop = UGA)	0.31311715801287593	0.25844743016748734	0.5720469810801759	0.5236315224318128	0.2617693172446737	0.23689382957005173
Tetrahymena malaccensis	Ciliate (Stop = UGA)	0.10772851367567524	0.3486234909785589	0.5982261253673218	0.5918807141950723	0.2004873199020206	0.06757603611515488
Tetrahymena thermophila	Ciliate (Stop = UGA)	0.20999146474128036	0.23516595278024205	0.45367342209722644	0.5095508804507758	0.15757335682231635	0.1631037589541653
Giardia intestinalis	Diplomonad (Standard Code)	-0.16479415350225401	0.03649576859141697	0.1227690736860585	0.03793099622505523	-0.031187677638578267	-0.09631650979271021
Giardia muris	Diplomonad (Standard Code)	-0.1978553108389887	-0.046228082218661926	-0.0349176836229852	0.08793408970559866	-0.06168883163495433	-0.24716778179345647
Spironucleus salmonicida	Diplomonad (Stop = UGA)	0.24235200378793725	0.026787519005201876	0.017720403124823772	-0.021106152407388466	-0.31025899384761296	-0.4782567137313698
Babesia sp.	Other Alveolates (Standard Code)	-0.11477352103451667	-0.05387520041001027	0.02971871769770526	0.06202598595821747	0.01156577227634402	-0.010633384767642971
Cryptosporidium muris	Other Alveolates (Standard Code)	-0.17097179129905712	0.09235465990509589	0.00983725132273505	-0.0017823302872950625	0.03475637143352604	-0.046109268409508235
Cryptosporidium parvum	Other Alveolates (Standard Code)	-0.1506293594577025	-0.07421359096215888	0.048047054046979246	-0.10894453823466918	-0.04246022446576316	-0.08825912370855762
Neospora caninum	Other Alveolates (Standard Code)	-0.7295763402570362	-0.5798515206145393	-0.5802231104712606	-0.43639801295595215	-0.5661053662930943	-0.5147234896497774
Plasmodium falciparum	Other Alveolates (Standard Code)	-0.4046919547033429	-0.25361917163014397	-0.36665366779112274	-0.36953078149059737	-0.1910458468285262	-0.288080001643064
